step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
6348,217,0.44,21,0,109.5,1
6375,218,-8.06,27,1,46.4,1
6396,219,0.47,21,1,113.7,1
6418,220,1.39,22,1,122.5,1
6439,221,-7.54,21,0,45.5,1
6480,222,9.36,41,1,241.2,1
6501,223,-5.36,21,0,25.1,1
6543,224,2.91,42,1,145.2,1
6585,225,1.01,42,1,118.0,1
6606,226,-3.76,21,0,47.8,1
6627,227,-3.86,21,0,46.5,1
6639,228,-6.56,12,0,6.9,1
6660,229,0.81,21,1,114.9,1
6681,230,-4.99,21,0,30.5,1
6723,231,-2.46,42,1,105.3,1
6744,232,-4.41,21,0,40.9,1
6793,233,-5.14,49,1,33.3,1
6813,234,-3.08,20,0,58.0,1
6826,235,-6.75,13,0,4.9,1
6847,236,-3.13,21,0,57.0,1
6881,237,1.55,34,1,125.8,1
6894,238,-6.15,13,0,12.6,1
6915,239,-6.19,21,0,13.8,1
6936,240,-4.90,21,0,41.6,1
6957,241,-3.93,21,0,51.1,1
6969,242,-4.97,12,0,30.2,1
7003,243,1.01,34,1,117.5,1
7045,244,5.26,42,1,180.6,1
7057,245,-5.61,12,0,20.6,1
7091,246,3.12,34,1,148.3,1
7111,247,-2.48,20,0,66.6,1
7145,248,-0.13,34,1,109.2,1
7165,249,-2.34,20,1,68.9,1
7186,250,-3.39,21,1,53.1,1
7199,251,1.06,13,0,118.7,1
7220,252,-1.39,21,0,84.2,1
7258,253,1.64,38,0,127.4,1
7278,254,2.76,20,1,143.9,1
7297,255,1.79,19,0,129.7,1
7318,256,2.44,21,2,137.2,1
7339,257,-1.58,21,1,96.1,1
7351,258,-7.81,12,0,3.2,1
7378,259,-1.73,27,1,77.0,1
7398,260,-5.17,20,0,43.4,1
7409,261,-6.40,11,0,8.9,1
7443,262,2.82,34,1,143.9,1
7464,263,-3.60,21,0,56.3,1
7483,264,-1.03,19,0,87.8,1
7496,265,-5.05,13,0,28.8,1
7530,266,6.03,34,1,191.0,1
7551,267,-3.62,21,0,49.8,1
7569,268,-6.15,18,0,15.7,1
7582,269,4.22,13,0,165.0,1
7603,270,-5.60,21,0,46.1,1
7624,271,-1.13,21,0,86.4,1
7645,272,2.08,21,1,132.7,1
7666,273,-4.73,21,1,33.4,1
7687,274,-0.14,21,0,101.0,1
7708,275,4.33,21,0,167.0,1
7742,276,6.71,34,1,201.3,1
7763,277,-4.97,21,0,41.8,1
7784,278,-0.13,21,0,101.1,1
7805,279,-2.93,21,0,61.7,1
7832,280,-0.25,27,1,105.0,1
7844,281,-3.50,12,0,52.2,1
7865,282,-2.51,21,1,66.0,1
7878,283,-5.62,13,0,20.4,1
7899,284,-5.63,21,0,21.2,1
7933,285,10.00,34,1,256.6,1
7954,286,-0.88,21,0,91.3,1
7975,287,0.21,21,0,106.1,1
7988,288,-3.33,13,0,54.1,1
8022,289,1.90,34,1,133.3,1
8035,290,-5.17,13,0,27.0,1
8054,291,-0.11,19,0,106.4,1
8075,292,-2.46,21,0,66.8,1
8104,293,4.52,29,1,168.6,1
8142,294,2.63,38,1,141.0,1
8154,295,-8.10,12,0,0.0,1
8192,296,-0.04,38,0,102.7,1
8249,297,14.48,57,1,316.3,1
8270,298,7.38,21,0,211.9,1
8291,299,-1.69,21,0,78.2,1
8312,300,-3.91,21,0,46.4,1
8324,301,-4.14,12,0,43.1,1
8352,302,-1.88,28,1,74.7,1
8373,303,-5.72,21,0,19.8,1
8394,304,0.15,21,0,105.5,1
8406,305,-3.25,12,0,55.6,1
8426,306,3.36,20,1,151.5,1
8447,307,-3.37,21,0,53.4,1
8468,308,-7.28,21,1,15.4,1
8489,309,-6.23,21,0,12.3,1
8530,310,2.72,41,1,142.9,1
8551,311,-2.17,21,0,71.2,1
8572,312,-2.16,21,0,71.3,1
8583,313,-5.92,11,0,15.9,1
8628,314,-1.97,45,1,73.1,1
8640,315,-5.18,12,0,27.5,1
