step,episode,ep_reward,ep_length,ep_kills,ep_max_x,healthpacks_picked,health_gained,final_health,died
34121,71,2198.33,523,0,0.0,32,512.0,100.0,0
34646,72,2206.63,525,0,0.0,29,512.0,100.0,0
35167,73,2189.40,521,0,0.0,30,512.0,92.0,0
35691,74,2202.46,524,0,0.0,29,496.0,100.0,0
36212,75,2189.58,521,0,0.0,27,512.0,92.0,0
36736,76,2202.52,524,0,0.0,27,440.0,100.0,0
37260,77,2201.63,524,0,0.0,30,472.0,84.0,0
37683,78,1672.69,423,0,0.0,13,317.0,-7.0,1
38105,79,1668.42,422,0,0.0,17,330.0,-2.0,1
38627,80,2193.71,522,0,0.0,25,504.0,92.0,0
39149,81,2194.20,522,0,0.0,27,488.0,100.0,0
39625,82,1895.60,476,0,0.0,21,353.0,-3.0,1
40147,83,2193.30,522,0,0.0,28,456.0,84.0,0
40672,84,2203.99,525,0,0.0,20,466.0,46.0,0
41197,85,2205.86,525,0,0.0,30,480.0,84.0,0
41714,86,2067.90,517,0,0.0,22,385.0,-3.0,1
42238,87,2200.49,524,0,0.0,23,482.0,62.0,0
42561,88,1252.97,323,0,0.0,10,224.0,-4.0,1
42694,89,454.38,133,0,0.0,2,41.0,-3.0,1
43215,90,2188.29,521,0,0.0,22,497.0,69.0,0
43736,91,2186.65,521,0,0.0,21,457.0,37.0,0
44256,92,2185.64,520,0,0.0,27,496.0,100.0,0
44781,93,2206.59,525,0,0.0,25,520.0,100.0,0
45306,94,2206.18,525,0,0.0,24,465.0,85.0,0
45826,95,2183.37,520,0,0.0,27,456.0,52.0,0
46351,96,2205.77,525,0,0.0,25,488.0,84.0,0
46874,97,2197.62,523,0,0.0,25,480.0,84.0,0
47377,98,2009.05,503,0,0.0,22,352.0,-4.0,1
47899,99,2192.57,522,0,0.0,26,448.0,68.0,0
48423,100,2201.27,524,0,0.0,30,464.0,76.0,0
48943,101,2185.33,520,0,0.0,28,472.0,92.0,0
49463,102,2185.68,520,0,0.0,25,473.0,93.0,0
49743,103,1071.99,280,0,0.0,9,168.0,-4.0,1
50268,104,2205.40,525,0,0.0,27,477.0,73.0,0
50586,105,1231.76,318,0,0.0,9,214.0,-6.0,1
51108,106,2193.13,522,0,0.0,22,464.0,76.0,0
51629,107,2189.11,521,0,0.0,26,480.0,84.0,0
52150,108,2186.79,521,0,0.0,26,435.0,39.0,0
52671,109,2189.27,521,0,0.0,33,488.0,84.0,0
53193,110,2193.64,522,0,0.0,25,480.0,92.0,0
408,1,1609.84,408,0,0.0,17,293.0,-7.0,1
524,1,2201.36,524,0,0.0,29,497.0,77.0,0
961,2,1731.67,437,0,0.0,15,348.0,0.0,1
1484,3,2196.75,523,0,0.0,26,497.0,69.0,0
2005,4,2188.81,521,0,0.0,26,492.0,80.0,0
2527,5,2193.24,522,0,0.0,26,448.0,84.0,0
3050,6,2195.73,523,0,0.0,21,472.0,52.0,0
3479,7,1698.17,429,0,0.0,19,306.0,-2.0,1
4000,8,2187.88,521,0,0.0,25,488.0,60.0,0
4523,9,2197.21,523,0,0.0,29,472.0,76.0,0
5044,10,2189.37,521,0,0.0,20,493.0,81.0,0
5256,11,786.60,212,0,0.0,5,122.0,-2.0,1
5781,12,2206.22,525,0,0.0,28,496.0,92.0,0
6301,13,2185.52,520,0,0.0,29,507.0,95.0,0
6821,14,2185.31,520,0,0.0,28,504.0,92.0,0
7342,15,2189.56,521,0,0.0,29,488.0,92.0,0
7865,16,2198.42,523,0,0.0,25,504.0,100.0,0
8389,17,2202.06,524,0,0.0,25,464.0,92.0,0
8909,18,2185.06,520,0,0.0,25,512.0,92.0,0
9431,19,2194.27,522,0,0.0,27,488.0,100.0,0
9951,20,2185.64,520,0,0.0,27,504.0,100.0,0
10473,21,2194.08,522,0,0.0,28,520.0,100.0,0
10996,22,2196.45,523,0,0.0,25,472.0,60.0,0
11520,23,2200.86,524,0,0.0,25,472.0,68.0,0
12042,24,2194.28,522,0,0.0,24,488.0,100.0,0
12336,25,1131.05,294,0,0.0,11,186.0,-2.0,1
12860,26,2202.68,524,0,0.0,26,488.0,100.0,0
13382,27,2194.09,522,0,0.0,26,496.0,100.0,0
13755,28,1463.16,373,0,0.0,15,268.0,0.0,1
14276,29,2188.01,521,0,0.0,20,482.0,62.0,0
14800,30,2202.50,524,0,0.0,28,504.0,100.0,0
15324,31,2201.09,524,0,0.0,25,497.0,69.0,0
15847,32,2197.21,523,0,0.0,25,490.0,78.0,0
16014,33,597.45,167,0,0.0,3,75.0,-1.0,1
16539,34,2206.50,525,0,0.0,26,464.0,92.0,0
17060,35,2188.16,521,0,0.0,25,472.0,60.0,0
17583,36,2198.49,523,0,0.0,23,496.0,100.0,0
17707,37,416.07,124,0,0.0,2,32.0,-4.0,1
18232,38,2204.36,525,0,0.0,26,440.0,52.0,0
18752,39,2184.90,520,0,0.0,29,496.0,84.0,0
19273,40,2189.07,521,0,0.0,27,453.0,81.0,0
19718,41,1765.62,445,0,0.0,17,316.0,0.0,1
20243,42,2206.89,525,0,0.0,28,520.0,100.0,0
20764,43,2189.30,521,0,0.0,28,464.0,84.0,0
21287,44,2195.33,523,0,0.0,26,428.0,40.0,0
21642,45,1387.20,355,0,0.0,15,251.0,-1.0,1
22165,46,2197.71,523,0,0.0,27,465.0,85.0,0
22586,47,1664.51,421,0,0.0,18,304.0,-4.0,1
23110,48,2201.41,524,0,0.0,26,472.0,76.0,0
23632,49,2193.74,522,0,0.0,29,472.0,92.0,0
24155,50,2197.92,523,0,0.0,30,488.0,92.0,0
24675,51,2184.57,520,0,0.0,31,464.0,76.0,0
25198,52,2197.89,523,0,0.0,29,472.0,92.0,0
25718,53,2184.01,520,0,0.0,28,440.0,68.0,0
26241,54,2196.19,523,0,0.0,27,453.0,57.0,0
26766,55,2206.72,525,0,0.0,27,504.0,100.0,0
27287,56,2187.10,521,0,0.0,19,457.0,45.0,0
27403,57,382.89,116,0,0.0,1,25.0,-3.0,1
27924,58,2189.49,521,0,0.0,24,472.0,92.0,0
28449,59,2203.83,525,0,0.0,28,472.0,44.0,0
28970,60,2187.99,521,0,0.0,26,444.0,64.0,0
29494,61,2200.00,524,0,0.0,26,440.0,52.0,0
30017,62,2196.97,523,0,0.0,27,456.0,68.0,0
30109,63,281.93,92,0,0.0,0,0.0,-4.0,1
30633,64,2201.83,524,0,0.0,25,472.0,84.0,0
31016,65,1504.86,383,0,0.0,13,273.0,-3.0,1
31540,66,2201.71,524,0,0.0,31,456.0,84.0,0
32065,67,2206.65,525,0,0.0,31,512.0,100.0,0
32587,68,2193.47,522,0,0.0,26,504.0,84.0,0
33110,69,2198.31,523,0,0.0,25,520.0,100.0,0
33632,70,2193.58,522,0,0.0,32,464.0,92.0,0
34154,71,2193.96,522,0,0.0,26,528.0,100.0,0
34679,72,2206.14,525,0,0.0,25,512.0,92.0,0
35199,73,2185.72,520,0,0.0,28,496.0,100.0,0
35363,74,584.86,164,0,0.0,3,75.0,-1.0,1
35887,75,2201.63,524,0,0.0,27,467.0,79.0,0
36103,76,803.40,216,0,0.0,5,116.0,0.0,1
36627,77,2202.56,524,0,0.0,25,488.0,100.0,0
37147,78,2185.87,520,0,0.0,30,504.0,100.0,0
37671,79,2202.57,524,0,0.0,24,456.0,100.0,0
38193,80,2193.81,522,0,0.0,32,504.0,92.0,0
38500,81,1185.50,307,0,0.0,9,215.0,-5.0,1
39020,82,2183.40,520,0,0.0,22,443.0,55.0,0
39185,83,588.98,165,0,0.0,3,74.0,-2.0,1
39705,84,2185.81,520,0,0.0,29,488.0,100.0,0
40226,85,2189.55,521,0,0.0,24,448.0,92.0,0
40358,86,450.19,132,0,0.0,2,41.0,-3.0,1
40563,87,757.11,205,0,0.0,5,116.0,0.0,1
41088,88,2206.99,525,0,0.0,28,512.0,100.0,0
41612,89,2200.83,524,0,0.0,26,483.0,63.0,0
42134,90,2190.28,522,0,0.0,20,437.0,33.0,0
42655,91,2189.12,521,0,0.0,22,496.0,84.0,0
43178,92,2195.86,523,0,0.0,22,472.0,52.0,0
43434,93,971.22,256,0,0.0,10,160.0,-4.0,1
43609,94,630.67,175,0,0.0,4,83.0,-1.0,1
44129,95,2185.12,520,0,0.0,24,472.0,84.0,0
44317,96,685.76,188,0,0.0,4,100.0,0.0,1
44838,97,2189.17,521,0,0.0,27,496.0,84.0,0
45360,98,2192.94,522,0,0.0,22,495.0,75.0,0
45503,99,496.34,143,0,0.0,2,41.0,-3.0,1
46028,100,2206.27,525,0,0.0,26,504.0,92.0,0
46127,101,311.36,99,0,0.0,1,8.0,-4.0,1
46647,102,2184.93,520,0,0.0,23,488.0,92.0,0
46741,103,290.32,94,0,0.0,0,0.0,-4.0,1
47265,104,2202.24,524,0,0.0,23,504.0,92.0,0
47389,105,416.52,124,0,0.0,2,33.0,-3.0,1
47911,106,2192.81,522,0,0.0,26,488.0,84.0,0
48166,107,967.09,255,0,0.0,7,144.0,-4.0,1
48690,108,2202.70,524,0,0.0,25,488.0,100.0,0
49210,109,2184.98,520,0,0.0,25,467.0,79.0,0
49735,110,2206.66,525,0,0.0,27,528.0,100.0,0
49954,111,815.83,219,0,0.0,7,120.0,-4.0,1
